Away,AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,AOT3,AOT4,Home,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,HOT3,HOT4,Date,Away_Final,Home_Final,Q1M,Q2M,Q3M,Q4M,FinalMargin,FinalTotal,HomeMargin,Season,OTs,Weekday,TravelDist,Playoffs
Miami,35,27,29,27,0,0,0,0,LA Clippers,33,34,25,33,0,0,0,0,20210215,118,125,-2,5,1,7,7,243,7,2020,0,0,2335,1
Atlanta,28,35,27,22,0,0,0,0,New York,39,27,29,28,0,0,0,0,20210215,112,123,11,3,5,11,11,235,11,2020,0,0,745,1
Brooklyn,36,38,33,29,0,0,0,0,Sacramento,37,31,20,37,0,0,0,0,20210215,136,125,-1,6,19,11,11,261,-11,2020,0,0,2499,1
Houston,34,35,20,30,0,0,0,0,Washington,38,34,28,31,0,0,0,0,20210215,119,131,4,3,11,12,12,250,12,2020,0,0,1217,1
Brooklyn,22,32,34,40,0,0,0,0,Phoenix,33,42,25,24,0,0,0,0,20210216,128,124,-11,-21,-12,4,4,252,-4,2020,0,1,2139,1
Portland,34,30,29,22,0,0,0,0,Oklahoma City,21,29,29,25,0,0,0,0,20210216,115,104,13,14,14,11,11,219,-11,2020,0,1,1484,1
LA Lakers,30,27,29,26,0,0,0,0,Minnesota,27,29,28,20,0,0,0,0,20210216,112,104,3,1,2,8,8,216,-8,2020,0,1,1521,1
New Orleans,29,34,38,43,0,0,0,0,Memphis,32,26,23,32,0,0,0,0,20210216,144,113,-3,5,20,31,31,257,-31,2020,0,1,358,1
Denver,26,28,21,24,0,0,0,0,Boston,30,29,27,26,0,0,0,0,20210216,99,112,4,5,11,13,13,211,13,2020,0,1,1765,1
Toronto,33,31,30,30,0,0,0,0,Milwaukee,33,31,27,22,0,0,0,0,20210216,124,113,0,0,3,11,11,237,-11,2020,0,1,429,1
Portland,35,24,35,32,0,0,0,0,New Orleans,30,39,22,33,0,0,0,0,20210217,126,124,5,-10,3,2,2,250,-2,2020,0,2,2059,1
Atlanta,33,29,28,32,0,0,0,0,Boston,35,21,25,33,0,0,0,0,20210217,122,114,-2,6,9,8,8,236,-8,2020,0,2,935,1
Detroit,35,26,12,29,0,0,0,0,Chicago,27,16,27,35,0,0,0,0,20210217,102,105,-8,-18,-3,3,3,207,3,2020,0,2,238,1
Miami,36,25,25,19,7,0,0,0,Golden State,24,22,30,29,15,0,0,0,20210217,112,120,-12,-15,-10,0,8,232,8,2020,1,2,2590,1
Utah,24,22,35,33,0,0,0,0,LA Clippers,25,26,24,21,0,0,0,0,20210217,114,96,-1,-5,6,18,18,210,-18,2020,0,2,579,1
Oklahoma City,31,25,29,28,0,0,0,0,Memphis,30,27,29,36,0,0,0,0,20210217,113,122,-1,1,1,9,9,235,9,2020,0,2,421,1
Indiana,39,30,17,35,13,0,0,0,Minnesota,33,40,19,29,7,0,0,0,20210217,134,128,6,-4,-6,0,6,262,-6,2020,1,2,510,1
New York,32,24,14,19,0,0,0,0,Orlando,23,30,30,24,0,0,0,0,20210217,89,107,-9,-3,13,18,18,196,18,2020,0,2,939,1
Houston,24,19,36,34,0,0,0,0,Philadelphia,38,31,27,22,0,0,0,0,20210217,113,118,14,26,17,5,5,231,5,2020,0,2,1339,1
Denver,41,23,29,35,0,0,0,0,Washington,24,46,30,30,0,0,0,0,20210217,128,130,-17,6,7,2,2,258,2,2020,0,2,1489,1
Miami,31,26,32,29,0,0,0,0,Sacramento,21,22,36,31,0,0,0,0,20210218,118,110,10,14,10,8,8,228,-8,2020,0,3,2547,1
Brooklyn,31,33,26,19,0,0,0,0,LA Lakers,24,29,21,24,0,0,0,0,20210218,109,98,7,11,16,11,11,207,-11,2020,0,3,2445,1
Toronto,33,25,27,25,0,0,0,0,Milwaukee,26,15,31,24,0,0,0,0,20210218,110,96,7,17,13,14,14,206,-14,2020,0,3,429,1
Toronto,28,17,13,28,0,0,0,0,Minnesota,15,20,29,17,0,0,0,0,20210219,86,81,13,10,-6,5,5,167,-5,2020,0,4,691,1
Chicago,30,23,26,26,0,0,0,0,Philadelphia,32,26,27,27,0,0,0,0,20210219,105,112,2,5,6,7,7,217,7,2020,0,4,664,1
Phoenix,33,26,32,41,0,0,0,0,New Orleans,34,32,36,12,0,0,0,0,20210219,132,114,-1,-7,-11,18,18,246,-18,2020,0,4,1312,1
Oklahoma City,20,22,20,23,0,0,0,0,Milwaukee,16,30,32,20,0,0,0,0,20210219,85,98,-4,4,16,13,13,183,13,2020,0,4,732,1
Golden State,34,17,43,26,0,0,0,0,Orlando,37,27,29,31,0,0,0,0,20210219,120,124,3,13,-1,4,4,244,4,2020,0,4,2437,1
Utah,23,26,26,37,0,0,0,0,LA Clippers,31,26,22,37,0,0,0,0,20210219,112,116,8,8,4,4,4,228,4,2020,0,4,579,1
Denver,33,36,26,25,0,0,0,0,Cleveland,23,27,30,23,0,0,0,0,20210219,120,103,10,19,15,17,17,223,-17,2020,0,4,1223,1
Atlanta,22,19,32,36,0,0,0,0,Boston,33,33,32,23,0,0,0,0,20210219,109,121,11,25,25,12,12,230,12,2020,0,4,935,1
Detroit,17,26,30,22,0,0,0,0,Memphis,35,18,31,25,0,0,0,0,20210219,95,109,18,10,11,14,14,204,14,2020,0,4,622,1
Washington,31,30,28,29,0,0,0,0,Portland,43,12,37,19,0,0,0,0,20210220,118,111,-12,6,-3,7,7,229,-7,2020,0,5,2347,1
Miami,36,23,22,15,0,0,0,0,LA Lakers,23,29,25,17,0,0,0,0,20210220,96,94,13,7,4,2,2,190,-2,2020,0,5,2335,1
Phoenix,28,37,31,32,0,0,0,0,Memphis,15,19,30,33,0,0,0,0,20210220,128,97,13,31,32,31,31,225,-31,2020,0,5,1260,1
