Season,Start Date,Playoff Start,End Date,Skip Date
2010,20101026,20110416,20110612,
2011,20111225,20120428,20120621,
2012,20121030,20130420,20130620,
2013,20131029,20140419,20140615,
2014,20141028,20150418,20150616,
2015,20151027,20160416,20160619,
2016,20161025,20170415,20170612,
2017,20171017,20180414,20180608,
2018,20181016,20190413,20190613,
2019.1,20191022,20200817,20200311,
2019.2,20200730,20200817,20201011,
2020,20201222,20200518,20210720,
