Away,AP1,AP2,AP3,AOT1,Away_Final,Home,HP1,HP2,HP3,HOT1,Home_Final,Date,P1M,P2M,P3M,FinalMargin,FinalTotal,HomeMargin,Season,OT_Flag,Weekday,TravelDist,Playoffs
Hurricanes,1,3,0,0,4,Wild,1,1,1,0,3,20101007,0,2,1,1,7,-1,2010,0,3,995,0
Flyers,0,2,1,0,3,Penguins,0,0,2,0,2,20101007,0,2,1,1,5,-1,2010,0,3,257,0
Canadiens,1,0,1,0,2,Maple Leafs,2,0,1,0,3,20101007,1,1,1,1,5,1,2010,0,3,303,0
Flames,0,0,0,0,0,Oilers,1,0,3,0,4,20101007,1,1,4,4,4,4,2010,0,3,171,0
Blackhawks,1,1,1,0,3,Avalanche,1,2,0,1,4,20101007,0,1,0,1,7,1,2010,1,3,916,0
Stars,1,2,0,1,4,Devils,2,1,0,0,3,20101008,-1,0,0,1,7,-1,2010,1,4,1362,0
Wild,1,0,0,0,1,Hurricanes,0,1,0,1,2,20101008,-1,0,0,1,3,1,2010,1,4,995,0
Sharks,2,0,1,0,3,Blue Jackets,2,0,0,0,2,20101008,0,0,1,1,5,-1,2010,0,4,2090,0
Ducks,0,0,0,0,0,Red Wings,2,2,0,0,4,20101008,2,4,4,4,4,4,2010,0,4,1979,0
Sabres,1,0,1,0,2,Senators,0,1,0,0,1,20101008,1,0,1,1,3,-1,2010,0,4,219,0
Capitals,1,0,1,0,2,Jets,1,2,1,0,4,20101008,0,2,2,2,6,2,2010,0,4,541,0
Flyers,0,0,1,0,1,Blues,1,0,0,1,2,20101009,1,1,0,1,3,1,2010,1,5,808,0
Ducks,0,1,0,0,1,Predators,0,3,1,0,4,20101009,0,2,3,3,5,3,2010,0,5,1776,0
Canadiens,1,0,2,0,3,Penguins,0,1,1,0,2,20101009,1,0,1,1,5,-1,2010,0,5,474,0
Jets,0,2,1,0,3,Lightning,2,2,1,0,5,20101009,2,2,2,2,8,2,2010,0,5,416,0
Red Wings,1,1,1,0,3,Blackhawks,1,1,0,0,2,20101009,0,0,1,1,5,-1,2010,0,5,238,0
Devils,2,0,0,0,2,Capitals,1,4,2,0,7,20101009,-1,3,5,5,9,5,2010,0,5,198,0
Coyotes,1,3,1,0,5,Bruins,0,0,2,0,2,20101009,1,4,3,3,7,-3,2010,0,5,2295,0
Stars,2,1,1,1,5,Islanders,0,2,1,1,4,20101009,2,1,1,1,9,-1,2010,0,5,1370,0
Rangers,2,2,2,0,6,Sabres,0,1,2,0,3,20101009,2,3,3,3,9,-3,2010,0,5,292,0
Blue Jackets,1,0,1,1,3,Sharks,1,0,1,0,2,20101009,0,0,0,1,5,-1,2010,1,5,2090,0
Kings,0,0,1,1,2,Canucks,0,1,0,0,1,20101009,0,-1,0,1,3,-1,2010,1,5,1076,0
Senators,0,0,1,0,1,Maple Leafs,2,1,2,0,5,20101009,2,3,4,4,6,4,2010,0,5,203,0
Panthers,0,2,0,0,2,Oilers,0,3,0,0,3,20101010,0,1,1,1,5,1,2010,0,6,2569,0
Kings,0,0,1,0,1,Flames,0,1,2,0,3,20101010,0,1,2,2,4,2,2010,0,6,1197,0
Bruins,0,2,1,0,3,Coyotes,0,0,0,0,0,20101010,0,2,3,3,3,-3,2010,0,6,2295,0
Senators,0,1,1,0,2,Capitals,1,1,0,1,3,20101011,1,1,0,1,5,1,2010,1,0,446,0
Rangers,1,2,1,0,4,Islanders,2,1,3,0,6,20101011,1,0,2,2,10,2,2010,0,0,0,0
Ducks,0,1,0,0,1,Blues,2,2,1,0,5,20101011,2,3,4,4,6,4,2010,0,0,1586,0
Penguins,1,1,1,0,3,Devils,0,0,1,0,1,20101011,1,2,2,2,4,-2,2010,0,0,306,0
Blackhawks,1,2,1,0,4,Sabres,2,0,1,0,3,20101011,-1,1,1,1,7,-1,2010,0,0,453,0
Avalanche,0,1,1,0,2,Flyers,2,0,2,0,4,20101011,2,1,2,2,6,2,2010,0,0,1574,0
Panthers,0,1,0,0,1,Canucks,1,0,1,0,2,20101011,1,0,1,1,3,1,2010,0,0,2803,0
Avalanche,1,1,2,1,5,Red Wings,1,2,1,0,4,20101012,0,-1,0,1,9,-1,2010,1,1,1154,0
Jets,0,1,0,0,1,Kings,0,0,3,0,3,20101012,0,-1,2,2,4,2,2010,0,1,1932,0
Devils,0,0,0,1,1,Sabres,0,0,0,0,0,20101013,0,0,0,1,1,-1,2010,1,2,284,0
Islanders,1,0,0,0,1,Capitals,0,1,1,0,2,20101013,-1,0,1,1,3,1,2010,0,2,204,0
Lightning,0,1,2,1,4,Canadiens,2,0,1,0,3,20101013,-2,-1,0,1,7,-1,2010,1,2,1311,0
Maple Leafs,1,3,0,0,4,Penguins,2,1,0,0,3,20101013,-1,1,1,1,7,-1,2010,0,2,222,0
Predators,1,0,2,0,3,Blackhawks,2,0,0,0,2,20101013,-1,-1,1,1,5,-1,2010,0,2,395,0
Canucks,2,0,1,0,3,Ducks,1,1,2,0,4,20101013,-1,0,1,1,7,1,2010,0,2,1076,0
Hurricanes,0,0,2,0,2,Senators,1,1,1,0,3,20101014,1,2,1,1,5,1,2010,0,3,673,0
Lightning,1,1,1,0,3,Flyers,1,0,1,0,2,20101014,0,1,1,1,5,-1,2010,0,3,928,0
Blues,1,1,1,0,3,Predators,3,1,0,0,4,20101014,2,2,1,1,7,1,2010,0,3,253,0
Red Wings,0,0,1,0,1,Stars,1,3,0,0,4,20101014,1,4,3,3,5,3,2010,0,3,999,0
Oilers,0,2,0,0,2,Wild,1,2,1,0,4,20101014,1,1,2,2,6,2,2010,0,3,1083,0
Panthers,2,0,1,0,3,Flames,0,0,0,0,0,20101014,2,2,3,3,3,-3,2010,0,3,2493,0
Canucks,0,0,1,0,1,Kings,1,1,2,0,4,20101015,1,2,3,3,5,3,2010,0,4,1076,0
Jets,1,1,2,1,5,Ducks,1,2,1,0,4,20101015,0,-1,0,1,9,-1,2010,1,4,1932,0
Canadiens,0,2,0,0,2,Sabres,0,0,1,0,1,20101015,0,2,1,1,3,-1,2010,0,4,311,0
Blackhawks,2,2,1,0,5,Blue Jackets,0,1,1,0,2,20101015,2,3,3,3,7,-3,2010,0,4,275,0
Maple Leafs,0,3,0,1,4,Rangers,1,0,2,0,3,20101015,-1,2,0,1,7,-1,2010,1,4,341,0
Avalanche,1,1,1,0,3,Devils,0,1,1,0,2,20101015,1,1,1,1,5,-1,2010,0,4,1618,0
Islanders,0,2,0,0,2,Penguins,0,2,0,1,3,20101015,0,0,0,1,5,1,2010,1,4,314,0
Capitals,0,0,2,1,3,Predators,1,1,0,0,2,20101016,-1,-2,0,1,5,-1,2010,1,5,566,0
Oilers,1,2,0,0,3,Flames,1,1,3,0,5,20101016,0,-1,2,2,8,2,2010,0,5,171,0
Red Wings,0,1,0,1,2,Coyotes,1,0,0,0,1,20101016,-1,0,0,1,3,-1,2010,1,5,1687,0
Blues,2,0,0,0,2,Stars,1,1,0,1,3,20101016,-1,0,0,1,5,1,2010,1,5,547,0
Sabres,2,1,0,0,3,Blackhawks,1,1,2,0,4,20101016,-1,-1,1,1,7,1,2010,0,5,453,0
Blue Jackets,1,1,1,0,3,Wild,0,2,0,0,2,20101016,1,0,1,1,5,-1,2010,0,5,626,0
Lightning,0,0,0,0,0,Panthers,4,0,2,0,6,20101016,4,4,6,6,6,6,2010,0,5,205,0
Avalanche,0,0,2,0,2,Islanders,0,3,2,0,5,20101016,0,3,3,3,7,3,2010,0,5,1627,0
Bruins,0,4,0,0,4,Devils,0,1,0,0,1,20101016,0,3,3,3,5,-3,2010,0,5,196,0
Senators,1,2,0,0,3,Canadiens,1,2,1,0,4,20101016,0,0,1,1,7,1,2010,0,5,104,0
Penguins,1,1,3,0,5,Flyers,1,0,0,0,1,20101016,0,1,4,4,6,-4,2010,0,5,257,0
Jets,0,2,2,0,4,Sharks,2,0,0,0,2,20101016,-2,0,2,2,6,-2,2010,0,5,2109,0
Hurricanes,0,1,0,0,1,Canucks,2,1,2,0,5,20101017,2,2,4,4,6,4,2010,0,6,2409,0
Coyotes,0,0,2,0,2,Ducks,0,2,1,0,3,20101017,0,2,1,1,5,1,2010,0,6,356,0
Blues,0,1,1,0,2,Blackhawks,0,0,2,1,3,20101018,0,-1,0,1,5,1,2010,1,0,260,0
Stars,1,1,2,0,4,Lightning,2,2,1,0,5,20101018,1,2,1,1,9,1,2010,0,0,916,0
Islanders,0,1,0,1,2,Maple Leafs,0,0,1,0,1,20101018,0,1,0,1,3,-1,2010,1,0,341,0
Avalanche,1,0,2,0,3,Rangers,1,0,0,0,1,20101018,0,0,2,2,4,-2,2010,0,0,1627,0
Senators,0,1,1,0,2,Penguins,3,2,0,0,5,20101018,3,4,3,3,7,3,2010,0,0,392,0
Bruins,2,0,1,0,3,Capitals,0,1,0,0,1,20101019,2,1,2,2,4,-2,2010,0,1,394,0
Flames,0,0,0,1,1,Predators,0,0,0,0,0,20101019,0,0,0,1,1,-1,2010,1,1,1692,0
Canucks,1,0,1,0,2,Wild,3,3,0,0,6,20101019,2,5,4,4,8,4,2010,0,1,1427,0
Hurricanes,2,1,2,0,5,Sharks,0,2,0,0,2,20101019,2,1,3,3,7,-3,2010,0,1,2382,0
Sabres,1,2,1,0,4,Jets,0,0,1,0,1,20101020,1,3,3,3,5,-3,2010,0,2,698,0
Ducks,0,0,1,0,1,Blue Jackets,0,2,1,0,3,20101020,0,2,2,2,4,2,2010,0,2,1973,0
Canucks,0,0,1,0,1,Blackhawks,1,0,0,1,2,20101020,1,1,0,1,3,1,2010,1,2,1775,0
Hurricanes,2,1,0,0,3,Kings,2,1,1,0,4,20101020,0,0,1,1,7,1,2010,0,2,2231,0
Islanders,1,1,0,1,3,Lightning,1,1,0,0,2,20101021,0,0,0,1,5,-1,2010,1,3,1004,0
Kings,0,1,1,0,2,Coyotes,2,1,1,0,4,20101021,2,2,2,2,6,2,2010,0,3,356,0
Wild,3,0,1,0,4,Oilers,1,0,1,0,2,20101021,2,2,2,2,6,-2,2010,0,3,1083,0
Sharks,1,2,1,0,4,Avalanche,1,0,1,0,2,20101021,0,2,2,2,6,-2,2010,0,3,927,0
Penguins,0,2,1,1,4,Predators,1,1,1,0,3,20101021,-1,0,0,1,7,-1,2010,1,3,471,0
Stars,2,2,0,0,4,Panthers,0,0,1,0,1,20101021,2,4,3,3,5,-3,2010,0,3,1110,0
Flames,2,0,0,0,2,Red Wings,1,1,2,0,4,20101021,-1,0,2,2,6,2,2010,0,3,1573,0
Rangers,2,0,0,0,2,Maple Leafs,0,0,1,0,1,20101021,2,2,1,1,3,-1,2010,0,3,341,0
Ducks,2,0,1,0,3,Flyers,1,1,0,0,2,20101021,1,0,1,1,5,-1,2010,0,3,2388,0
Capitals,0,0,1,0,1,Bruins,1,2,1,0,4,20101021,1,3,3,3,5,3,2010,0,3,394,0
Devils,1,1,1,0,3,Canadiens,0,0,0,0,0,20101021,1,2,3,3,3,-3,2010,0,3,342,0
Wild,0,0,1,0,1,Canucks,1,1,3,0,5,20101022,1,2,4,4,6,4,2010,0,4,1427,0
Flames,3,1,2,0,6,Blue Jackets,1,0,1,0,2,20101022,2,3,4,4,8,-4,2010,0,4,1670,0
Senators,1,2,1,0,4,Sabres,1,1,0,0,2,20101022,0,1,2,2,6,-2,2010,0,4,219,0
Lightning,3,1,1,0,5,Jets,0,1,1,0,2,20101022,3,3,3,3,7,-3,2010,0,4,416,0
Blackhawks,1,1,0,0,2,Blues,1,1,2,0,4,20101022,0,0,2,2,6,2,2010,0,4,260,0
Penguins,0,0,0,0,0,Blues,0,0,0,1,1,20101023,0,0,0,1,1,1,2010,1,5,557,0
Kings,2,2,2,0,6,Avalanche,2,1,1,0,4,20101023,0,1,2,2,10,-2,2010,0,5,830,0
Sharks,1,2,3,0,6,Oilers,1,0,0,0,1,20101023,0,2,5,5,7,-5,2010,0,5,1190,0
Predators,1,0,0,0,1,Stars,0,0,0,0,0,20101023,1,1,1,1,1,-1,2010,0,5,616,0
Hurricanes,0,2,1,1,4,Coyotes,0,0,3,0,3,20101023,0,2,0,1,7,-1,2010,1,5,1898,0
Islanders,1,2,0,0,3,Panthers,2,1,1,0,4,20101023,1,0,1,1,7,1,2010,0,5,1091,0
Blue Jackets,0,1,2,0,3,Blackhawks,2,0,0,0,2,20101023,-2,-1,1,1,5,-1,2010,0,5,275,0
Maple Leafs,0,2,0,0,2,Flyers,2,1,2,0,5,20101023,2,1,3,3,7,3,2010,0,5,334,0
Canadiens,1,2,0,0,3,Senators,0,0,0,0,0,20101023,1,3,3,3,3,-3,2010,0,5,104,0
Sabres,2,3,1,0,6,Devils,0,0,1,0,1,20101023,2,5,5,5,7,-5,2010,0,5,284,0
Ducks,1,2,1,0,4,Red Wings,1,2,2,0,5,20101023,0,0,1,1,9,1,2010,0,5,1979,0
Rangers,2,1,0,0,3,Bruins,1,1,0,0,2,20101023,1,1,1,1,5,-1,2010,0,5,190,0
Jets,1,1,1,0,3,Capitals,0,1,2,1,4,20101023,-1,-1,0,1,7,1,2010,1,5,541,0
Predators,2,1,1,0,4,Lightning,1,0,2,0,3,20101024,1,2,1,1,7,-1,2010,0,6,621,0
Devils,0,0,1,0,1,Rangers,0,2,1,0,3,20101024,0,2,2,2,4,2,2010,0,6,8,0
Sharks,0,0,0,0,0,Flames,4,0,0,0,4,20101024,4,4,4,4,4,4,2010,0,6,1027,0
Flyers,0,0,1,0,1,Blue Jackets,1,1,0,0,2,20101025,1,2,1,1,3,1,2010,0,0,414,0
Coyotes,0,1,1,0,2,Canadiens,0,2,0,1,3,20101025,0,1,0,1,5,1,2010,1,0,2175,0
Kings,1,1,0,1,3,Wild,2,0,0,0,2,20101025,-1,0,0,1,5,-1,2010,1,0,1521,0
Ducks,0,3,2,0,5,Stars,1,0,1,0,2,20101026,-1,2,3,3,7,-3,2010,0,1,1237,0
Oilers,1,1,2,0,4,Flames,2,2,0,1,5,20101026,1,2,0,1,9,1,2010,1,1,171,0
Avalanche,1,1,1,0,3,Canucks,1,1,1,1,4,20101026,0,0,0,1,7,1,2010,1,1,1105,0
Coyotes,0,1,1,0,2,Senators,3,0,2,0,5,20101026,3,2,3,3,7,3,2010,0,1,2071,0
Panthers,0,1,0,0,1,Maple Leafs,1,0,2,0,3,20101026,1,0,2,2,4,2,2010,0,1,1234,0
Sabres,1,0,2,0,3,Flyers,1,3,2,0,6,20101026,0,3,3,3,9,3,2010,0,1,279,0
Capitals,1,0,2,0,3,Hurricanes,0,0,0,0,0,20101027,1,1,3,3,3,-3,2010,0,2,233,0
Jets,1,2,3,0,6,Rangers,1,1,2,0,4,20101027,0,1,2,2,10,-2,2010,0,2,745,0
Islanders,1,0,2,0,3,Canadiens,2,1,2,0,5,20101027,1,2,2,2,8,2,2010,0,2,343,0
Penguins,3,0,0,0,3,Lightning,2,1,2,0,5,20101027,-1,0,2,2,8,2,2010,0,2,874,0
Kings,1,0,0,0,1,Blackhawks,1,1,1,0,3,20101027,0,1,2,2,4,2,2010,0,2,1741,0
Devils,0,1,1,0,2,Sharks,3,1,1,0,5,20101027,3,3,3,3,7,3,2010,0,2,2540,0
Avalanche,1,2,3,0,6,Flames,2,2,1,0,5,20101028,-1,-1,1,1,11,-1,2010,0,3,898,0
Kings,1,2,2,0,5,Stars,1,0,1,0,2,20101028,0,2,3,3,7,-3,2010,0,3,1237,0
Capitals,0,0,1,0,1,Wild,1,1,0,0,2,20101028,1,2,1,1,3,1,2010,0,3,931,0
Blues,0,1,2,0,3,Predators,0,0,0,0,0,20101028,0,1,3,3,3,-3,2010,0,3,253,0
Maple Leafs,0,0,0,0,0,Bruins,1,1,0,0,2,20101028,1,2,2,2,2,2,2010,0,3,430,0
Oilers,1,0,1,0,2,Blue Jackets,2,0,0,1,3,20101028,1,1,0,1,5,1,2010,1,3,1703,0
Panthers,1,0,2,0,3,Senators,0,3,2,0,5,20101028,-1,2,2,2,8,2,2010,0,3,1370,0
Coyotes,3,0,1,0,4,Red Wings,0,1,1,0,2,20101028,3,2,2,2,6,-2,2010,0,3,1687,0
Oilers,4,2,1,0,7,Blackhawks,2,1,1,0,4,20101029,2,3,3,3,11,-3,2010,0,4,1437,0
Devils,0,1,1,0,2,Ducks,0,1,0,0,1,20101029,0,0,1,1,3,-1,2010,0,4,2436,0
Sabres,2,0,1,0,3,Jets,0,2,1,1,4,20101029,-2,0,0,1,7,1,2010,1,4,698,0
Flyers,0,2,1,0,3,Penguins,1,0,1,0,2,20101029,-1,1,1,1,5,-1,2010,0,4,257,0
Hurricanes,1,2,1,0,4,Rangers,0,3,0,0,3,20101029,1,0,1,1,7,-1,2010,0,4,423,0
Canadiens,1,0,2,0,3,Islanders,0,1,0,0,1,20101029,1,0,2,2,4,-2,2010,0,4,343,0
Devils,0,1,0,0,1,Kings,1,2,0,0,3,20101030,1,2,2,2,4,2,2010,0,5,2436,0
Capitals,1,6,0,0,7,Flames,2,0,0,0,2,20101030,-1,5,5,5,9,-5,2010,0,5,1967,0
Lightning,0,1,2,0,3,Coyotes,0,0,0,0,0,20101030,0,1,3,3,3,-3,2010,0,5,1793,0
Blue Jackets,0,0,1,0,1,Avalanche,1,3,1,0,5,20101030,1,4,4,4,6,4,2010,0,5,1163,0
Blackhawks,0,0,3,0,3,Wild,0,0,1,0,1,20101030,0,0,2,2,4,-2,2010,0,5,355,0
Jets,3,0,0,0,3,Blues,1,0,2,1,4,20101030,-2,-2,0,1,7,1,2010,1,5,467,0
Sabres,0,0,0,0,0,Stars,1,1,2,0,4,20101030,1,2,4,4,4,4,2010,0,5,1197,0
Rangers,1,1,0,0,2,Maple Leafs,0,0,0,0,0,20101030,1,2,2,2,2,-2,2010,0,5,341,0
Islanders,0,1,0,0,1,Flyers,2,4,0,0,6,20101030,2,5,5,5,7,5,2010,0,5,80,0
Bruins,1,2,1,0,4,Senators,0,0,0,0,0,20101030,1,3,4,4,4,-4,2010,0,5,320,0
Panthers,1,1,1,0,3,Canadiens,0,1,0,0,1,20101030,1,1,2,2,4,-2,2010,0,5,1418,0
Penguins,1,1,1,0,3,Hurricanes,0,0,0,0,0,20101030,1,2,3,3,3,-3,2010,0,5,330,0
Predators,0,1,1,0,2,Red Wings,2,1,2,0,5,20101030,2,2,3,3,7,3,2010,0,5,470,0
Ducks,0,0,2,0,2,Sharks,2,3,0,0,5,20101030,2,5,3,3,7,3,2010,0,5,305,0
Devils,0,0,0,0,0,Canucks,1,1,1,0,3,20101101,1,2,3,3,3,3,2010,0,0,2421,0
Hurricanes,0,1,1,0,2,Flyers,1,1,1,0,3,20101101,1,1,1,1,5,1,2010,0,0,345,0
Blackhawks,1,0,1,0,2,Rangers,1,0,2,0,3,20101101,0,0,1,1,5,1,2010,0,0,711,0
Senators,1,2,0,0,3,Maple Leafs,0,0,2,0,2,20101102,1,3,1,1,5,-1,2010,0,1,203,0
Canadiens,0,0,0,0,0,Blue Jackets,2,0,1,0,3,20101102,2,2,3,3,3,3,2010,0,1,605,0
Sharks,0,0,0,0,0,Wild,0,1,0,0,1,20101102,0,1,1,1,1,1,2010,0,1,1570,0
Canucks,3,0,1,0,4,Oilers,0,1,2,0,3,20101102,3,2,1,1,7,-1,2010,0,1,514,0
Lightning,0,1,1,0,2,Ducks,1,0,1,1,3,20101103,1,0,0,1,5,1,2010,1,2,2149,0
Predators,2,1,0,0,3,Coyotes,1,1,2,0,4,20101103,-1,-1,1,1,7,1,2010,0,2,1442,0
Red Wings,0,2,0,0,2,Flames,1,0,0,0,1,20101103,-1,1,1,1,3,-1,2010,0,2,1573,0
Penguins,0,1,1,0,2,Stars,2,2,1,0,5,20101103,2,3,3,3,7,3,2010,0,2,1069,0
Jets,1,1,2,0,4,Panthers,1,1,1,0,3,20101103,0,0,1,1,7,-1,2010,0,2,605,0
Maple Leafs,1,0,3,0,4,Capitals,0,3,1,1,5,20101103,-1,2,0,1,9,1,2010,1,2,349,0
Islanders,0,0,2,0,2,Hurricanes,3,2,2,0,7,20101103,3,5,5,5,9,5,2010,0,2,423,0
Bruins,3,1,1,0,5,Sabres,0,1,1,0,2,20101103,3,3,3,3,7,-3,2010,0,2,399,0
Devils,1,1,3,0,5,Blackhawks,0,1,2,0,3,20101103,1,1,2,2,8,-2,2010,0,2,703,0
Canucks,1,1,1,0,3,Avalanche,0,0,1,0,1,20101104,1,2,2,2,4,-2,2010,0,3,1105,0
Lightning,0,0,0,0,0,Kings,0,0,1,0,1,20101104,0,0,1,1,1,1,2010,0,3,2149,0
Sharks,0,0,0,0,0,Blues,1,1,0,0,2,20101104,1,2,2,2,2,2,2010,0,3,1719,0
Rangers,0,1,0,0,1,Flyers,0,3,1,0,4,20101104,0,2,3,3,5,3,2010,0,3,80,0
Blue Jackets,0,1,2,0,3,Jets,0,0,0,0,0,20101104,0,1,3,3,3,-3,2010,0,3,436,0
Islanders,0,0,1,0,1,Senators,1,2,1,0,4,20101104,1,3,3,3,5,3,2010,0,3,334,0
Rangers,1,1,1,0,3,Devils,0,0,0,0,0,20101105,1,2,3,3,3,-3,2010,0,4,8,0
Bruins,0,0,3,0,3,Capitals,0,3,2,0,5,20101105,0,3,2,2,8,2,2010,0,4,394,0
Canadiens,1,2,0,0,3,Sabres,1,1,0,0,2,20101105,0,1,1,1,5,-1,2010,0,4,311,0
Hurricanes,3,0,1,0,4,Panthers,3,1,3,0,7,20101105,0,1,3,3,11,3,2010,0,4,696,0
Flames,1,0,0,0,1,Wild,1,0,1,0,2,20101105,0,0,1,1,3,1,2010,0,4,1043,0
Coyotes,0,1,2,0,3,Stars,1,4,1,0,6,20101105,1,4,3,3,9,3,2010,0,4,884,0
Red Wings,1,1,1,0,3,Oilers,0,1,0,0,1,20101105,1,1,2,2,4,-2,2010,0,4,1592,0
Penguins,0,1,1,0,2,Ducks,0,3,0,0,3,20101105,0,2,1,1,5,1,2010,0,4,2132,0
Lightning,1,0,1,0,2,Sharks,2,2,1,0,5,20101106,1,3,3,3,7,3,2010,0,5,2365,0
Red Wings,0,3,1,0,4,Canucks,1,2,3,0,6,20101106,1,0,2,2,10,2,2010,0,5,1967,0
Predators,0,0,1,0,1,Kings,2,2,0,0,4,20101106,2,4,3,3,5,3,2010,0,5,1776,0
Penguins,0,3,0,1,4,Coyotes,2,1,0,0,3,20101106,-2,0,0,1,7,-1,2010,1,5,1824,0
Stars,0,0,0,0,0,Avalanche,1,2,2,0,5,20101106,1,3,5,5,5,5,2010,0,5,661,0
Wild,1,1,1,0,3,Blue Jackets,1,1,0,0,2,20101106,0,0,1,1,5,-1,2010,0,5,626,0
Sabres,0,1,1,1,3,Maple Leafs,1,1,0,0,2,20101106,-1,-1,0,1,5,-1,2010,1,5,57,0
Flyers,1,0,1,0,2,Islanders,0,1,0,0,1,20101106,1,0,1,1,3,-1,2010,0,5,80,0
Senators,1,1,1,0,3,Canadiens,0,1,1,0,2,20101106,1,1,1,1,5,-1,2010,0,5,104,0
Panthers,0,0,2,0,2,Hurricanes,0,1,2,0,3,20101106,0,1,1,1,5,1,2010,0,5,696,0
Blues,1,0,0,1,2,Bruins,0,0,1,0,1,20101106,1,1,0,1,3,-1,2010,1,5,1035,0
Blackhawks,2,2,0,1,5,Jets,1,3,0,0,4,20101106,1,0,0,1,9,-1,2010,1,5,587,0
Flyers,1,1,0,0,2,Capitals,1,1,0,1,3,20101107,0,0,0,1,5,1,2010,1,6,123,0
Oilers,0,0,2,0,2,Blackhawks,1,0,0,0,1,20101107,-1,-1,1,1,3,-1,2010,0,6,1437,0
Blues,0,1,1,0,2,Rangers,0,0,0,0,0,20101107,0,1,2,2,2,-2,2010,0,6,871,0
Predators,2,0,2,0,4,Ducks,2,0,3,0,5,20101107,0,0,1,1,9,1,2010,0,6,1776,0
Coyotes,1,1,0,0,2,Red Wings,1,0,1,1,3,20101108,0,-1,0,1,5,1,2010,1,0,1687,0
Maple Leafs,0,0,0,0,0,Lightning,3,0,1,0,4,20101109,3,3,4,4,4,4,2010,0,1,1096,0
Ducks,1,1,0,1,3,Sharks,1,0,1,0,2,20101109,0,1,0,1,5,-1,2010,1,1,305,0
Jets,1,0,1,0,2,Senators,2,2,1,0,5,20101109,1,3,3,3,7,3,2010,0,1,914,0
Flames,0,1,3,0,4,Avalanche,1,0,1,0,2,20101109,-1,0,2,2,6,-2,2010,0,1,898,0
Canucks,0,0,0,0,0,Canadiens,1,0,1,0,2,20101109,1,1,2,2,2,2,2010,0,1,2273,0
Capitals,1,2,2,0,5,Rangers,2,1,0,0,3,20101109,-1,0,2,2,8,-2,2010,0,1,204,0
Oilers,0,0,1,0,1,Hurricanes,4,1,2,0,7,20101109,4,5,6,6,8,6,2010,0,1,2076,0
Sabres,0,3,1,1,5,Devils,1,3,0,0,4,20101110,-1,-1,0,1,9,-1,2010,1,2,284,0
Bruins,2,0,5,0,7,Penguins,2,2,0,0,4,20101110,0,-2,3,3,11,-3,2010,0,2,481,0
Blues,0,1,0,0,1,Blue Jackets,3,3,2,0,8,20101110,3,5,7,7,9,7,2010,0,2,395,0
Maple Leafs,0,0,1,0,1,Panthers,1,1,2,0,4,20101110,1,2,3,3,5,3,2010,0,2,1234,0
Coyotes,0,2,0,0,2,Blackhawks,1,0,0,0,1,20101110,-1,1,1,1,3,-1,2010,0,2,1450,0
Islanders,0,0,0,0,0,Ducks,0,0,1,0,1,20101110,0,0,1,1,1,1,2010,0,2,2445,0
Islanders,0,1,0,0,1,Sharks,0,1,0,1,2,20101111,0,0,0,1,3,1,2010,1,3,2549,0
Stars,1,0,0,0,1,Kings,1,0,2,0,3,20101111,0,0,2,2,4,2,2010,0,3,1237,0
Predators,0,1,1,1,3,Blues,1,0,1,0,2,20101111,-1,0,0,1,5,-1,2010,1,3,253,0
Canucks,1,1,4,0,6,Senators,1,0,1,0,2,20101111,0,1,4,4,8,-4,2010,0,3,2191,0
Oilers,0,0,2,0,2,Red Wings,3,2,1,0,6,20101111,3,5,4,4,8,4,2010,0,3,1592,0
Lightning,1,0,2,0,3,Capitals,0,2,4,0,6,20101111,-1,1,3,3,9,3,2010,0,3,818,0
Sabres,0,2,0,0,2,Rangers,1,1,0,1,3,20101111,1,0,0,1,5,1,2010,1,3,292,0
Flyers,2,2,4,0,8,Hurricanes,0,0,1,0,1,20101111,2,4,7,7,9,-7,2010,0,3,345,0
Canadiens,1,0,2,0,3,Bruins,1,0,0,0,1,20101111,0,0,2,2,4,-2,2010,0,3,270,0
Wild,0,0,1,0,1,Jets,2,1,2,0,5,20101111,2,3,4,4,6,4,2010,0,3,908,0
Oilers,2,1,0,0,3,Devils,1,1,1,1,4,20101112,-1,-1,0,1,7,1,2010,1,4,2016,0
Lightning,0,0,1,0,1,Penguins,0,2,3,0,5,20101112,0,2,4,4,6,4,2010,0,4,874,0
Avalanche,1,3,1,0,5,Blue Jackets,1,0,0,0,1,20101112,0,3,4,4,6,-4,2010,0,4,1163,0
Wild,1,0,0,0,1,Panthers,2,0,0,0,2,20101112,1,1,1,1,3,1,2010,0,4,1513,0
Flames,1,1,2,0,4,Coyotes,0,3,2,0,5,20101112,-1,1,1,1,9,1,2010,0,4,1224,0
Stars,1,0,1,0,2,Ducks,1,0,3,0,4,20101112,0,0,2,2,6,2,2010,0,4,1237,0
Penguins,0,1,3,0,4,Jets,1,0,1,0,2,20101113,-1,0,2,2,6,-2,2010,0,5,521,0
Islanders,1,0,0,0,1,Kings,2,1,2,0,5,20101113,1,2,4,4,6,4,2010,0,5,2445,0
Blackhawks,1,2,0,0,3,Predators,0,2,1,1,4,20101113,-1,-1,0,1,7,1,2010,1,5,395,0
Blues,1,1,1,0,3,Coyotes,1,3,1,0,5,20101113,0,2,2,2,8,2,2010,0,5,1270,0
Canucks,2,1,2,0,5,Maple Leafs,2,1,0,0,3,20101113,0,0,2,2,8,-2,2010,0,5,2090,0
